"Label (Grouping)","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!Percent!!Estimate","Tennessee!!Percent!!Margin of Error","Tennessee!!Male!!Estimate","Tennessee!!Male!!Margin of Error","Tennessee!!Percent Male!!Estimate","Tennessee!!Percent Male!!Margin of Error","Tennessee!!Female!!Estimate","Tennessee!!Female!!Margin of Error","Tennessee!!Percent Female!!Estimate","Tennessee!!Percent Female!!Margin of Error","Cannon County, Tennessee!!Total!!Estimate","Cannon County, Tennessee!!Total!!Margin of Error","Cannon County, Tennessee!!Percent!!Estimate","Cannon County, Tennessee!!Percent!!Margin of Error","Cannon County, Tennessee!!Male!!Estimate","Cannon County, Tennessee!!Male!!Margin of Error","Cannon County, Tennessee!!Percent Male!!Estimate","Cannon County, Tennessee!!Percent Male!!Margin of Error","Cannon County, Tennessee!!Female!!Estimate","Cannon County, Tennessee!!Female!!Margin of Error","Cannon County, Tennessee!!Percent Female!!Estimate","Cannon County, Tennessee!!Percent Female!!Margin of Error","Clay County, Tennessee!!Total!!Estimate","Clay County, Tennessee!!Total!!Margin of Error","Clay County, Tennessee!!Percent!!Estimate","Clay County, Tennessee!!Percent!!Margin of Error","Clay County, Tennessee!!Male!!Estimate","Clay County, Tennessee!!Male!!Margin of Error","Clay County, Tennessee!!Percent Male!!Estimate","Clay County, Tennessee!!Percent Male!!Margin of Error","Clay County, Tennessee!!Female!!Estimate","Clay County, Tennessee!!Female!!Margin of Error","Clay County, Tennessee!!Percent Female!!Estimate","Clay County, Tennessee!!Percent Female!!Margin of Error","Cumberland County, Tennessee!!Total!!Estimate","Cumberland County, Tennessee!!Total!!Margin of Error","Cumberland County, Tennessee!!Percent!!Estimate","Cumberland County, Tennessee!!Percent!!Margin of Error","Cumberland County, Tennessee!!Male!!Estimate","Cumberland County, Tennessee!!Male!!Margin of Error","Cumberland County, Tennessee!!Percent Male!!Estimate","Cumberland County, Tennessee!!Percent Male!!Margin of Error","Cumberland County, Tennessee!!Female!!Estimate","Cumberland County, Tennessee!!Female!!Margin of Error","Cumberland County, Tennessee!!Percent Female!!Estimate","Cumberland County, Tennessee!!Percent Female!!Margin of Error","DeKalb County, Tennessee!!Total!!Estimate","DeKalb County, Tennessee!!Total!!Margin of Error","DeKalb County, Tennessee!!Percent!!Estimate","DeKalb County, Tennessee!!Percent!!Margin of Error","DeKalb County, Tennessee!!Male!!Estimate","DeKalb County, Tennessee!!Male!!Margin of Error","DeKalb County, Tennessee!!Percent Male!!Estimate","DeKalb County, Tennessee!!Percent Male!!Margin of Error","DeKalb County, Tennessee!!Female!!Estimate","DeKalb County, Tennessee!!Female!!Margin of Error","DeKalb County, Tennessee!!Percent Female!!Estimate","DeKalb County, Tennessee!!Percent Female!!Margin of Error","Fentress County, Tennessee!!Total!!Estimate","Fentress County, Tennessee!!Total!!Margin of Error","Fentress County, Tennessee!!Percent!!Estimate","Fentress County, Tennessee!!Percent!!Margin of Error","Fentress County, Tennessee!!Male!!Estimate","Fentress County, Tennessee!!Male!!Margin of Error","Fentress County, Tennessee!!Percent Male!!Estimate","Fentress County, Tennessee!!Percent Male!!Margin of Error","Fentress County, Tennessee!!Female!!Estimate","Fentress County, Tennessee!!Female!!Margin of Error","Fentress County, Tennessee!!Percent Female!!Estimate","Fentress County, Tennessee!!Percent Female!!Margin of Error","Jackson County, Tennessee!!Total!!Estimate","Jackson County, Tennessee!!Total!!Margin of Error","Jackson County, Tennessee!!Percent!!Estimate","Jackson County, Tennessee!!Percent!!Margin of Error","Jackson County, Tennessee!!Male!!Estimate","Jackson County, Tennessee!!Male!!Margin of Error","Jackson County, Tennessee!!Percent Male!!Estimate","Jackson County, Tennessee!!Percent Male!!Margin of Error","Jackson County, Tennessee!!Female!!Estimate","Jackson County, Tennessee!!Female!!Margin of Error","Jackson County, Tennessee!!Percent Female!!Estimate","Jackson County, Tennessee!!Percent Female!!Margin of Error","Macon County, Tennessee!!Total!!Estimate","Macon County, Tennessee!!Total!!Margin of Error","Macon County, Tennessee!!Percent!!Estimate","Macon County, Tennessee!!Percent!!Margin of Error","Macon County, Tennessee!!Male!!Estimate","Macon County, Tennessee!!Male!!Margin of Error","Macon County, Tennessee!!Percent Male!!Estimate","Macon County, Tennessee!!Percent Male!!Margin of Error","Macon County, Tennessee!!Female!!Estimate","Macon County, Tennessee!!Female!!Margin of Error","Macon County, Tennessee!!Percent Female!!Estimate","Macon County, Tennessee!!Percent Female!!Margin of Error","Overton County, Tennessee!!Total!!Estimate","Overton County, Tennessee!!Total!!Margin of Error","Overton County, Tennessee!!Percent!!Estimate","Overton County, Tennessee!!Percent!!Margin of Error","Overton County, Tennessee!!Male!!Estimate","Overton County, Tennessee!!Male!!Margin of Error","Overton County, Tennessee!!Percent Male!!Estimate","Overton County, Tennessee!!Percent Male!!Margin of Error","Overton County, Tennessee!!Female!!Estimate","Overton County, Tennessee!!Female!!Margin of Error","Overton County, Tennessee!!Percent Female!!Estimate","Overton County, Tennessee!!Percent Female!!Margin of Error","Pickett County, Tennessee!!Total!!Estimate","Pickett County, Tennessee!!Total!!Margin of Error","Pickett County, Tennessee!!Percent!!Estimate","Pickett County, Tennessee!!Percent!!Margin of Error","Pickett County, Tennessee!!Male!!Estimate","Pickett County, Tennessee!!Male!!Margin of Error","Pickett County, Tennessee!!Percent Male!!Estimate","Pickett County, Tennessee!!Percent Male!!Margin of Error","Pickett County, Tennessee!!Female!!Estimate","Pickett County, Tennessee!!Female!!Margin of Error","Pickett County, Tennessee!!Percent Female!!Estimate","Pickett County, Tennessee!!Percent Female!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!Percent!!Estimate","Putnam County, Tennessee!!Percent!!Margin of Error","Putnam County, Tennessee!!Male!!Estimate","Putnam County, Tennessee!!Male!!Margin of Error","Putnam County, Tennessee!!Percent Male!!Estimate","Putnam County, Tennessee!!Percent Male!!Margin of Error","Putnam County, Tennessee!!Female!!Estimate","Putnam County, Tennessee!!Female!!Margin of Error","Putnam County, Tennessee!!Percent Female!!Estimate","Putnam County, Tennessee!!Percent Female!!Margin of Error","Smith County, Tennessee!!Total!!Estimate","Smith County, Tennessee!!Total!!Margin of Error","Smith County, Tennessee!!Percent!!Estimate","Smith County, Tennessee!!Percent!!Margin of Error","Smith County, Tennessee!!Male!!Estimate","Smith County, Tennessee!!Male!!Margin of Error","Smith County, Tennessee!!Percent Male!!Estimate","Smith County, Tennessee!!Percent Male!!Margin of Error","Smith County, Tennessee!!Female!!Estimate","Smith County, Tennessee!!Female!!Margin of Error","Smith County, Tennessee!!Percent Female!!Estimate","Smith County, Tennessee!!Percent Female!!Margin of Error","Van Buren County, Tennessee!!Total!!Estimate","Van Buren County, Tennessee!!Total!!Margin of Error","Van Buren County, Tennessee!!Percent!!Estimate","Van Buren County, Tennessee!!Percent!!Margin of Error","Van Buren County, Tennessee!!Male!!Estimate","Van Buren County, Tennessee!!Male!!Margin of Error","Van Buren County, Tennessee!!Percent Male!!Estimate","Van Buren County, Tennessee!!Percent Male!!Margin of Error","Van Buren County, Tennessee!!Female!!Estimate","Van Buren County, Tennessee!!Female!!Margin of Error","Van Buren County, Tennessee!!Percent Female!!Estimate","Van Buren County, Tennessee!!Percent Female!!Margin of Error","Warren County, Tennessee!!Total!!Estimate","Warren County, Tennessee!!Total!!Margin of Error","Warren County, Tennessee!!Percent!!Estimate","Warren County, Tennessee!!Percent!!Margin of Error","Warren County, Tennessee!!Male!!Estimate","Warren County, Tennessee!!Male!!Margin of Error","Warren County, Tennessee!!Percent Male!!Estimate","Warren County, Tennessee!!Percent Male!!Margin of Error","Warren County, Tennessee!!Female!!Estimate","Warren County, Tennessee!!Female!!Margin of Error","Warren County, Tennessee!!Percent Female!!Estimate","Warren County, Tennessee!!Percent Female!!Margin of Error","White County, Tennessee!!Total!!Estimate","White County, Tennessee!!Total!!Margin of Error","White County, Tennessee!!Percent!!Estimate","White County, Tennessee!!Percent!!Margin of Error","White County, Tennessee!!Male!!Estimate","White County, Tennessee!!Male!!Margin of Error","White County, Tennessee!!Percent Male!!Estimate","White County, Tennessee!!Percent Male!!Margin of Error","White County, Tennessee!!Female!!Estimate","White County, Tennessee!!Female!!Margin of Error","White County, Tennessee!!Percent Female!!Estimate","White County, Tennessee!!Percent Female!!Margin of Error"
"Total population","7,066,383","*****","(X)","(X)","3,467,734","±1,520","(X)","(X)","3,598,649","±1,520","(X)","(X)","14,818","*****","(X)","(X)","7,569","±114","(X)","(X)","7,249","±114","(X)","(X)","7,670","*****","(X)","(X)","3,730","±86","(X)","(X)","3,940","±86","(X)","(X)","63,553","*****","(X)","(X)","30,985","±253","(X)","(X)","32,568","±253","(X)","(X)","20,959","*****","(X)","(X)","10,466","±179","(X)","(X)","10,493","±179","(X)","(X)","19,309","*****","(X)","(X)","9,533","±174","(X)","(X)","9,776","±174","(X)","(X)","12,029","*****","(X)","(X)","6,089","±85","(X)","(X)","5,940","±85","(X)","(X)","26,240","*****","(X)","(X)","12,966","±171","(X)","(X)","13,274","±171","(X)","(X)","23,065","*****","(X)","(X)","11,608","±84","(X)","(X)","11,457","±84","(X)","(X)","5,079","*****","(X)","(X)","2,623","±51","(X)","(X)","2,456","±51","(X)","(X)","82,558","*****","(X)","(X)","41,180","±147","(X)","(X)","41,378","±147","(X)","(X)","20,389","*****","(X)","(X)","10,295","±113","(X)","(X)","10,094","±113","(X)","(X)","6,437","*****","(X)","(X)","3,288","±62","(X)","(X)","3,149","±62","(X)","(X)","42,166","*****","(X)","(X)","21,075","±230","(X)","(X)","21,091","±230","(X)","(X)","28,160","*****","(X)","(X)","13,952","±186","(X)","(X)","14,208","±186","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","410,924","±873","5.8%","±0.1","210,517","±944","6.1%","±0.1","200,407","±949","5.6%","±0.1","857","±72","5.8%","±0.5","443","±53","5.9%","±0.7","414","±42","5.7%","±0.6","323","±20","4.2%","±0.6","140","±40","3.8%","±1.0","183","±40","4.6%","±1.0","2,711","±163","4.3%","±0.3","1,244","±30","4.0%","±0.1","1,467","±160","4.5%","±0.5","1,535","±108","7.3%","±0.5","777","±161","7.4%","±1.4","758","±146","7.2%","±1.3","1,031","±53","5.3%","±0.3","518","±48","5.4%","±0.5","513","±33","5.2%","±0.3","548","±44","4.6%","±0.4","272","±20","4.5%","±0.3","276","±42","4.6%","±0.7","1,658","±33","6.3%","±0.1","836","±64","6.4%","±0.5","822","±56","6.2%","±0.4","1,150","±20","5.0%","±0.1","577","±7","5.0%","±0.1","573","±18","5.0%","±0.2","206","±6","4.1%","±0.1","148","±39","5.6%","±1.4","58","±38","2.4%","±1.5","4,526","±101","5.5%","±0.1","2,415","±86","5.9%","±0.2","2,111","±68","5.1%","±0.2","1,114","±76","5.5%","±0.4","600","±74","5.8%","±0.7","514","±25","5.1%","±0.3","345","±26","5.4%","±0.4","184","±18","5.6%","±0.5","161","±11","5.1%","±0.4","2,483","±109","5.9%","±0.3","1,346","±145","6.4%","±0.7","1,137","±99","5.4%","±0.4","1,536","±123","5.5%","±0.4","826","±99","5.9%","±0.7","710","±78","5.0%","±0.5"
"        5 to 9 years","427,842","±4,605","6.1%","±0.1","219,155","±3,363","6.3%","±0.1","208,687","±3,280","5.8%","±0.1","912","±151","6.2%","±1.0","531","±130","7.0%","±1.7","381","±83","5.3%","±1.1","249","±57","3.2%","±0.7","146","±42","3.9%","±1.1","103","±38","2.6%","±1.0","2,690","±237","4.2%","±0.4","1,321","±232","4.3%","±0.7","1,369","±197","4.2%","±0.6","1,231","±189","5.9%","±0.9","697","±130","6.7%","±1.2","534","±140","5.1%","±1.3","1,224","±201","6.3%","±1.0","653","±144","6.8%","±1.5","571","±142","5.8%","±1.5","647","±101","5.4%","±0.8","308","±60","5.1%","±1.0","339","±104","5.7%","±1.7","1,958","±190","7.5%","±0.7","1,008","±127","7.8%","±1.0","950","±201","7.2%","±1.5","1,258","±203","5.5%","±0.9","583","±116","5.0%","±1.0","675","±131","5.9%","±1.1","281","±64","5.5%","±1.3","157","±31","6.0%","±1.2","124","±51","5.0%","±2.1","4,579","±381","5.5%","±0.5","2,099","±307","5.1%","±0.7","2,480","±350","6.0%","±0.8","1,146","±155","5.6%","±0.8","619","±137","6.0%","±1.3","527","±102","5.2%","±1.0","324","±64","5.0%","±1.0","173","±56","5.3%","±1.7","151","±53","4.8%","±1.7","2,963","±421","7.0%","±1.0","1,473","±265","7.0%","±1.3","1,490","±281","7.1%","±1.3","1,762","±211","6.3%","±0.8","911","±166","6.5%","±1.2","851","±123","6.0%","±0.9"
"        10 to 14 years","449,752","±4,716","6.4%","±0.1","230,909","±3,513","6.7%","±0.1","218,843","±3,156","6.1%","±0.1","954","±173","6.4%","±1.2","527","±121","7.0%","±1.6","427","±98","5.9%","±1.3","527","±57","6.9%","±0.7","237","±42","6.4%","±1.2","290","±38","7.4%","±1.0","3,399","±269","5.3%","±0.4","1,827","±212","5.9%","±0.7","1,572","±194","4.8%","±0.6","1,064","±196","5.1%","±0.9","468","±133","4.5%","±1.3","596","±157","5.7%","±1.5","1,014","±195","5.3%","±1.0","487","±147","5.1%","±1.5","527","±133","5.4%","±1.3","631","±108","5.2%","±0.9","318","±71","5.2%","±1.2","313","±109","5.3%","±1.8","1,937","±177","7.4%","±0.7","997","±119","7.7%","±0.9","940","±184","7.1%","±1.4","1,458","±208","6.3%","±0.9","823","±117","7.1%","±1.0","635","±130","5.5%","±1.1","211","±56","4.2%","±1.1","71","±32","2.7%","±1.2","140","±39","5.7%","±1.6","4,948","±393","6.0%","±0.5","2,729","±300","6.6%","±0.7","2,219","±370","5.4%","±0.9","1,401","±175","6.9%","±0.9","725","±158","7.0%","±1.5","676","±120","6.7%","±1.2","390","±70","6.1%","±1.1","220","±62","6.7%","±1.9","170","±53","5.4%","±1.7","2,645","±432","6.3%","±1.0","1,354","±271","6.4%","±1.3","1,291","±280","6.1%","±1.3","1,678","±228","6.0%","±0.8","860","±193","6.2%","±1.4","818","±149","5.8%","±1.0"
"        15 to 19 years","449,364","±1,495","6.4%","±0.1","229,864","±1,276","6.6%","±0.1","219,500","±1,086","6.1%","±0.1","887","±193","6.0%","±1.3","586","±184","7.7%","±2.4","301","±46","4.2%","±0.6","514","±112","6.7%","±1.5","240","±87","6.4%","±2.3","274","±98","7.0%","±2.5","2,754","±127","4.3%","±0.2","1,384","±32","4.5%","±0.1","1,370","±115","4.2%","±0.4","1,135","±144","5.4%","±0.7","625","±94","6.0%","±0.9","510","±98","4.9%","±0.9","1,038","±27","5.4%","±0.1","583","±145","6.1%","±1.4","455","±146","4.7%","±1.4","626","±94","5.2%","±0.8","361","±79","5.9%","±1.3","265","±66","4.5%","±1.1","1,500","±139","5.7%","±0.5","770","±141","5.9%","±1.1","730","±47","5.5%","±0.4","1,396","±46","6.1%","±0.2","794","±48","6.8%","±0.4","602","±11","5.3%","±0.1","256","±62","5.0%","±1.2","198","±58","7.5%","±2.2","58","±43","2.4%","±1.7","6,798","±271","8.2%","±0.3","3,506","±229","8.5%","±0.5","3,292","±178","8.0%","±0.4","1,303","±67","6.4%","±0.3","659","±53","6.4%","±0.5","644","±57","6.4%","±0.5","364","±28","5.7%","±0.4","263","±44","8.0%","±1.3","101","±48","3.2%","±1.5","2,581","±203","6.1%","±0.5","1,398","±160","6.6%","±0.7","1,183","±158","5.6%","±0.7","1,598","±77","5.7%","±0.3","767","±25","5.5%","±0.2","831","±68","5.8%","±0.4"
"        20 to 24 years","458,171","±1,495","6.5%","±0.1","231,201","±1,092","6.7%","±0.1","226,970","±905","6.3%","±0.1","735","±105","5.0%","±0.7","326","±90","4.3%","±1.2","409","±40","5.6%","±0.6","365","±140","4.8%","±1.8","185","±107","5.0%","±2.9","180","±88","4.6%","±2.3","2,650","±111","4.2%","±0.2","1,404","±96","4.5%","±0.3","1,246","±64","3.8%","±0.2","1,168","±161","5.6%","±0.8","601","±91","5.7%","±0.9","567","±123","5.4%","±1.2","1,025","±55","5.3%","±0.3","518","±18","5.4%","±0.2","507","±48","5.2%","±0.5","545","±110","4.5%","±0.9","284","±77","4.7%","±1.3","261","±69","4.4%","±1.2","1,516","±199","5.8%","±0.8","848","±190","6.5%","±1.5","668","±52","5.0%","±0.4","1,289","±60","5.6%","±0.3","714","±52","6.2%","±0.5","575","±26","5.0%","±0.2","272","±93","5.4%","±1.8","133","±55","5.1%","±2.1","139","±75","5.7%","±3.0","8,447","±321","10.2%","±0.4","4,613","±210","11.2%","±0.5","3,834","±210","9.3%","±0.5","1,074","±54","5.3%","±0.3","569","±43","5.5%","±0.4","505","±42","5.0%","±0.4","331","±78","5.1%","±1.2","165","±74","5.0%","±2.2","166","±26","5.3%","±0.8","2,389","±194","5.7%","±0.5","1,251","±197","5.9%","±1.0","1,138","±63","5.4%","±0.3","1,341","±47","4.8%","±0.2","704","±40","5.0%","±0.3","637","±21","4.5%","±0.2"
"        25 to 29 years","484,230","±1,292","6.9%","±0.1","241,525","±876","7.0%","±0.1","242,705","±897","6.7%","±0.1","950","±59","6.4%","±0.4","456","±13","6.0%","±0.2","494","±58","6.8%","±0.8","298","±131","3.9%","±1.7","185","±102","5.0%","±2.7","113","±67","2.9%","±1.7","2,978","±151","4.7%","±0.2","1,505","±74","4.9%","±0.3","1,473","±108","4.5%","±0.3","1,384","±161","6.6%","±0.8","731","±105","7.0%","±0.9","653","±82","6.2%","±0.8","983","±20","5.1%","±0.1","500","±11","5.2%","±0.2","483","±16","4.9%","±0.2","651","±22","5.4%","±0.4","331","±22","5.4%","±0.1","320","±22","5.4%","±0.1","1,715","±61","6.5%","±0.2","834","±21","6.4%","±0.2","881","±58","6.6%","±0.4","1,470","±57","6.4%","±0.2","746","±35","6.4%","±0.3","724","±51","6.3%","±0.4","225","±64","4.4%","±1.3","112","±20","4.3%","±0.1","113","±64","4.6%","±2.6","5,730","±255","6.9%","±0.3","3,083","±186","7.5%","±0.5","2,647","±143","6.4%","±0.3","1,313","±83","6.4%","±0.4","685","±71","6.7%","±0.7","628","±34","6.2%","±0.3","314","±84","4.9%","±1.3","149","±81","4.5%","±2.5","165","±26","5.2%","±0.8","2,629","±203","6.2%","±0.5","1,390","±160","6.6%","±0.7","1,239","±134","5.9%","±0.6","1,693","±80","6.0%","±0.3","892","±83","6.4%","±0.6","801","±40","5.6%","±0.3"
"        30 to 34 years","493,168","±1,220","7.0%","±0.1","244,523","±799","7.1%","±0.1","248,645","±820","6.9%","±0.1","1,065","±103","7.2%","±0.7","549","±80","7.3%","±1.0","516","±79","7.1%","±1.0","209","±97","2.7%","±1.3","67","±71","1.8%","±1.9","142","±88","3.6%","±2.2","3,164","±139","5.0%","±0.2","1,626","±116","5.2%","±0.4","1,538","±85","4.7%","±0.3","1,316","±90","6.3%","±0.4","727","±90","6.9%","±0.9","589","±36","5.6%","±0.3","1,047","±74","5.4%","±0.4","560","±73","5.9%","±0.7","487","±9","5.0%","±0.1","776","±68","6.5%","±0.6","414","±56","6.8%","±0.9","362","±39","6.1%","±0.6","1,748","±94","6.7%","±0.4","816","±24","6.3%","±0.2","932","±88","7.0%","±0.7","1,363","±43","5.9%","±0.2","707","±35","6.1%","±0.3","656","±26","5.7%","±0.2","137","±38","2.7%","±0.7","104","±20","4.0%","±0.1","33","±38","1.3%","±1.5","5,394","±241","6.5%","±0.3","2,851","±197","6.9%","±0.5","2,543","±108","6.1%","±0.3","1,325","±64","6.5%","±0.3","687","±50","6.7%","±0.5","638","±40","6.3%","±0.4","338","±22","5.3%","±0.3","163","±20","5.0%","±0.1","175","±22","5.6%","±0.7","2,797","±191","6.6%","±0.5","1,353","±139","6.4%","±0.6","1,444","±106","6.8%","±0.5","1,878","±141","6.7%","±0.5","935","±67","6.7%","±0.5","943","±91","6.6%","±0.6"
"        35 to 39 years","460,712","±4,703","6.5%","±0.1","227,457","±3,348","6.6%","±0.1","233,255","±2,994","6.5%","±0.1","1,046","±176","7.1%","±1.2","530","±119","7.0%","±1.6","516","±118","7.1%","±1.6","605","±123","7.9%","±1.6","361","±110","9.7%","±3.0","244","±101","6.2%","±2.6","2,818","±353","4.4%","±0.6","1,410","±222","4.6%","±0.7","1,408","±269","4.3%","±0.8","1,178","±244","5.6%","±1.2","646","±108","6.2%","±1.0","532","±192","5.1%","±1.8","1,095","±268","5.7%","±1.4","502","±203","5.3%","±2.1","593","±163","6.1%","±1.7","689","±133","5.7%","±1.1","349","±93","5.7%","±1.5","340","±87","5.7%","±1.5","1,392","±239","5.3%","±0.9","680","±165","5.2%","±1.3","712","±171","5.4%","±1.3","1,000","±163","4.3%","±0.7","461","±109","4.0%","±0.9","539","±133","4.7%","±1.2","322","±88","6.3%","±1.7","164","±69","6.3%","±2.6","158","±49","6.4%","±2.0","4,472","±453","5.4%","±0.5","2,416","±312","5.9%","±0.8","2,056","±330","5.0%","±0.8","1,278","±182","6.3%","±0.9","598","±125","5.8%","±1.2","680","±129","6.7%","±1.3","400","±76","6.2%","±1.2","258","±59","7.8%","±1.8","142","±60","4.5%","±1.9","2,695","±336","6.4%","±0.8","1,283","±221","6.1%","±1.0","1,412","±225","6.7%","±1.1","1,579","±306","5.6%","±1.1","750","±181","5.4%","±1.3","829","±200","5.8%","±1.4"
