county,est_tot_pop,p_tot_seniors,p_tot_adolescent,p_tot_y_adult,p_tot_mid_age,est_tot_r,p_r_cb,p_o_cb,p_tot_oc_cb,p_tot_est_r_30p_less_ami_cb,p_tot_est_r_30p_50p_ami_cb,p_tot_est_r_50p_80p_ami_cb,units_202,units_811,total_202_811_units,gis_assisted_units,total_population,pct_65_and_over,pct_disability,pct_poverty,other_hud_properties,other_hud_units,total_202_811_units_adjusted,elderly_population,working_age_disabled_population,total_202_811_eligible_population
Cannon,14818,17.71494129,22.75610744,18.55850992,39.36428668,1249,31.38510809,16.92069803,20.04847645,53.27272727,19.52380952,11.32075472,18.0,0.0,18.0,18.0,14818,17.7,18.7,18.3,0.0,0.0,18.0,2561,1578.971,4139.971
Clay,7670,24.95436767,18.81355932,11.36897001,42.64667536,893,27.32362822,19.51407636,21.51462995,35.71428571,56.47058824,0.0,0.0,0.0,0.0,0.0,7670,25.0,23.0,24.2,0.0,0.0,0.0,1903,814.5059999999999,2717.506
Cumberland,63553,32.41861124,16.71360911,13.8341227,35.56716441,5581,28.50743594,17.52454232,19.69852811,43.93939394,63.58208955,38.23788546,30.0,17.0,47.0,42.0,63553,32.4,19.4,14.4,3.0,66.0,47.0,20351,5116.342,25467.342
DeKalb,20959,18.76520826,21.74244954,18.45507896,39.09060547,2370,53.67088608,19.02260427,28.51363847,80.53333333,74.23423423,47.27272727,26.0,6.0,32.0,0.0,20959,18.8,19.5,18.6,0.0,0.0,32.0,3837,2283.267,6120.267
Fentress,19309,23.2948366,20.37909783,15.82163758,38.57786524,1365,30.91575092,18.62047634,20.76363172,56.0,65.09090909,25.07042254,0.0,20.0,20.0,20.0,19309,23.3,23.5,21.0,1.0,24.0,20.0,4449,2148.121,6597.121
Jackson,12029,23.29370688,18.28913459,16.39371519,39.92850611,907,30.20948181,16.69238683,19.24921794,50.76923077,45.0,9.523809524,0.0,0.0,0.0,0.0,12029,23.3,23.9,20.3,1.0,24.0,0.0,2744,1677.065,4421.0650000000005
Macon,26240,15.39253049,25.08765244,18.97484756,38.75381098,2483,37.01167942,16.9645431,22.24816898,70.76923077,88.28571429,25.60606061,19.0,14.0,33.0,33.0,26240,15.4,14.7,17.2,0.0,0.0,33.0,3978,2190.586,6168.585999999999
Overton,23065,20.52893995,20.62865814,17.87123347,38.78603945,2093,33.30148113,16.82430496,20.62617132,61.11111111,34.34782609,29.06976744,40.0,0.0,40.0,39.0,23065,20.5,19.0,16.3,2.0,116.0,40.0,4665,1932.53,6597.53
Pickett,5079,27.97794842,17.28686749,12.4827722,40.75605434,359,13.37047354,22.06858407,20.62759575,38.75,17.77777778,70.0,0.0,0.0,0.0,0.0,5079,28.0,29.7,23.9,0.0,0.0,23.0,1384,661.6650000000001,2045.665
Putnam,82558,16.50112648,20.8629085,23.70575838,34.53693161,13039,45.21819158,17.23081412,28.09142585,79.50963222,77.26396917,36.20493359,49.0,0.0,49.0,52.0,82558,16.5,13.5,18.4,5.0,415.0,49.0,13304,5859.808,19163.808
Smith,20389,16.67075384,22.39442837,18.20589534,40.7768895,1832,30.13100437,15.47540984,18.86031266,58.66666667,58.48484848,16.31578947,14.0,0.0,14.0,14.0,20389,16.7,15.7,10.0,0.0,0.0,14.0,3338,1684.472,5022.472
Van Buren,6437,24.00186422,20.24234892,15.27108902,38.62047538,349,22.63610315,15.72072072,16.66017906,26.22222222,56.25,18.18181818,0.0,0.0,0.0,0.0,6437,24.0,20.7,16.1,1.0,25.0,0.0,1503,636.821,2139.821
Warren,42166,17.91016459,23.2841626,18.53388986,38.24645449,4465,37.11086226,15.1559039,21.20594952,56.73202614,72.57383966,45.26315789,14.0,0.0,14.0,14.0,42166,17.9,18.0,15.7,4.0,673.0,14.0,7338,4215.914000000001,11553.914
White,28160,21.23224432,21.64772727,17.44318182,37.97940341,2596,27.96610169,17.71726535,20.08729735,75.6097561,78.1512605,28.50574713,55.0,0.0,55.0,56.0,28160,21.2,18.2,13.2,1.0,48.0,55.0,5866,2296.882,8162.882
