PROPERTY_NAME_TEXT,TOTAL_ASSISTED_UNIT_COUNT,TOTAL_UNIT_COUNT,IS_202_811_IND,CURCNTY_NM,STD_ST,LAT,LON,county
FOX RIDGE PLACE,24,24,N,Jackson                  ,TN,36.38437,-85.637238,Jackson
ALGOOD VILLAGE,22,22,N,Putnam                   ,TN,36.194504,-85.450038,Putnam
WALNUT VILLAGE APTS,80,80,N,Putnam                   ,TN,36.160354,-85.506908,Putnam
WHEELER MANOR APARTMENTS,24,24,N,Fentress                 ,TN,36.430065,-84.933154,Fentress
BEERSHEBA HEIGHTS TOWER,100,101,N,Warren                   ,TN,35.679369,-85.767892,Warren
WESTSIDE MANOR APARTMENTS,51,51,N,Warren                   ,TN,35.690722,-85.781159,Warren
KNOLLCREST MANOR,48,50,N,White                    ,TN,35.922973,-85.449004,White
IVY AVENUE APARTMENTS,49,50,N,Cumberland               ,TN,35.952065,-85.019749,Cumberland
ALGOOD MANOR APARTMENTS,58,59,N,Putnam                   ,TN,36.269091,-85.485202,Putnam
Town Creek Apartments,50,50,N,Overton                  ,TN,36.385882,-85.325658,Overton
Janet Clark Memorial Group Home II,10,10,N,Cumberland               ,TN,35.979139,-85.051174,Cumberland
HIGHLAND VILLAGE APTS,25,25,N,Van Buren                ,TN,35.7488,-85.4872,Van Buren
Janet Clark 1 Group Home,7,8,N,Cumberland               ,TN,35.951041,-85.019983,Cumberland
HILLCREST APARTMENTS,23,24,N,Pickett                  ,TN,36.571946,-85.135887,Pickett
MCMINNVILLE ARMS APTS,100,100,N,Warren                   ,TN,35.701576,-85.787997,Warren
Oakley Homes (RAD),66,66,N,Overton                  ,TN,36.393132,-85.319094,Overton
Cookeville RAD Development,207,207,N,Putnam                   ,TN,36.173143,-85.517613,Putnam
Hardaway Homes,422,422,N,Warren                   ,TN,35.670968,-85.788062,Warren
Hickory Valley,48,48,N,Putnam                   ,TN,36.1674,-85.5117,Putnam
