"Label (Grouping)","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!With a disability!!Estimate","Tennessee!!With a disability!!Margin of Error","Tennessee!!Percent with a disability!!Estimate","Tennessee!!Percent with a disability!!Margin of Error","Cannon County, Tennessee!!Total!!Estimate","Cannon County, Tennessee!!Total!!Margin of Error","Cannon County, Tennessee!!With a disability!!Estimate","Cannon County, Tennessee!!With a disability!!Margin of Error","Cannon County, Tennessee!!Percent with a disability!!Estimate","Cannon County, Tennessee!!Percent with a disability!!Margin of Error","Clay County, Tennessee!!Total!!Estimate","Clay County, Tennessee!!Total!!Margin of Error","Clay County, Tennessee!!With a disability!!Estimate","Clay County, Tennessee!!With a disability!!Margin of Error","Clay County, Tennessee!!Percent with a disability!!Estimate","Clay County, Tennessee!!Percent with a disability!!Margin of Error","Cumberland County, Tennessee!!Total!!Estimate","Cumberland County, Tennessee!!Total!!Margin of Error","Cumberland County, Tennessee!!With a disability!!Estimate","Cumberland County, Tennessee!!With a disability!!Margin of Error","Cumberland County, Tennessee!!Percent with a disability!!Estimate","Cumberland County, Tennessee!!Percent with a disability!!Margin of Error","DeKalb County, Tennessee!!Total!!Estimate","DeKalb County, Tennessee!!Total!!Margin of Error","DeKalb County, Tennessee!!With a disability!!Estimate","DeKalb County, Tennessee!!With a disability!!Margin of Error","DeKalb County, Tennessee!!Percent with a disability!!Estimate","DeKalb County, Tennessee!!Percent with a disability!!Margin of Error","Fentress County, Tennessee!!Total!!Estimate","Fentress County, Tennessee!!Total!!Margin of Error","Fentress County, Tennessee!!With a disability!!Estimate","Fentress County, Tennessee!!With a disability!!Margin of Error","Fentress County, Tennessee!!Percent with a disability!!Estimate","Fentress County, Tennessee!!Percent with a disability!!Margin of Error","Jackson County, Tennessee!!Total!!Estimate","Jackson County, Tennessee!!Total!!Margin of Error","Jackson County, Tennessee!!With a disability!!Estimate","Jackson County, Tennessee!!With a disability!!Margin of Error","Jackson County, Tennessee!!Percent with a disability!!Estimate","Jackson County, Tennessee!!Percent with a disability!!Margin of Error","Macon County, Tennessee!!Total!!Estimate","Macon County, Tennessee!!Total!!Margin of Error","Macon County, Tennessee!!With a disability!!Estimate","Macon County, Tennessee!!With a disability!!Margin of Error","Macon County, Tennessee!!Percent with a disability!!Estimate","Macon County, Tennessee!!Percent with a disability!!Margin of Error","Overton County, Tennessee!!Total!!Estimate","Overton County, Tennessee!!Total!!Margin of Error","Overton County, Tennessee!!With a disability!!Estimate","Overton County, Tennessee!!With a disability!!Margin of Error","Overton County, Tennessee!!Percent with a disability!!Estimate","Overton County, Tennessee!!Percent with a disability!!Margin of Error","Pickett County, Tennessee!!Total!!Estimate","Pickett County, Tennessee!!Total!!Margin of Error","Pickett County, Tennessee!!With a disability!!Estimate","Pickett County, Tennessee!!With a disability!!Margin of Error","Pickett County, Tennessee!!Percent with a disability!!Estimate","Pickett County, Tennessee!!Percent with a disability!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!With a disability!!Estimate","Putnam County, Tennessee!!With a disability!!Margin of Error","Putnam County, Tennessee!!Percent with a disability!!Estimate","Putnam County, Tennessee!!Percent with a disability!!Margin of Error","Smith County, Tennessee!!Total!!Estimate","Smith County, Tennessee!!Total!!Margin of Error","Smith County, Tennessee!!With a disability!!Estimate","Smith County, Tennessee!!With a disability!!Margin of Error","Smith County, Tennessee!!Percent with a disability!!Estimate","Smith County, Tennessee!!Percent with a disability!!Margin of Error","Van Buren County, Tennessee!!Total!!Estimate","Van Buren County, Tennessee!!Total!!Margin of Error","Van Buren County, Tennessee!!With a disability!!Estimate","Van Buren County, Tennessee!!With a disability!!Margin of Error","Van Buren County, Tennessee!!Percent with a disability!!Estimate","Van Buren County, Tennessee!!Percent with a disability!!Margin of Error","Warren County, Tennessee!!Total!!Estimate","Warren County, Tennessee!!Total!!Margin of Error","Warren County, Tennessee!!With a disability!!Estimate","Warren County, Tennessee!!With a disability!!Margin of Error","Warren County, Tennessee!!Percent with a disability!!Estimate","Warren County, Tennessee!!Percent with a disability!!Margin of Error","White County, Tennessee!!Total!!Estimate","White County, Tennessee!!Total!!Margin of Error","White County, Tennessee!!With a disability!!Estimate","White County, Tennessee!!With a disability!!Margin of Error","White County, Tennessee!!Percent with a disability!!Estimate","White County, Tennessee!!Percent with a disability!!Margin of Error"
"Total civilian noninstitutionalized population","6,970,655","±1,325","1,041,249","±8,879","14.9%","±0.1","14,692","±19","2,751","±305","18.7%","±2.1","7,594","±39","1,743","±306","23.0%","±4.0","63,077","±27","12,259","±966","19.4%","±1.5","20,781","±41","4,046","±447","19.5%","±2.1","19,155","±15","4,498","±566","23.5%","±3.0","11,873","±6","2,843","±342","23.9%","±2.9","25,992","±10","3,832","±458","14.7%","±1.8","22,866","±8","4,349","±621","19.0%","±2.7","5,019","±15","1,489","±206","29.7%","±4.1","81,753","±91","11,071","±848","13.5%","±1.0","20,222","±5","3,178","±347","15.7%","±1.7","6,354","±3","1,313","±222","20.7%","±3.5","41,721","±15","7,524","±601","18.0%","±1.4","27,842","±54","5,066","±557","18.2%","±2.0"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","3,400,177","±2,098","502,972","±4,860","14.8%","±0.1","7,501","±118","1,678","±224","22.4%","±3.0","3,665","±103","821","±188","22.4%","±4.8","30,739","±268","6,687","±607","21.8%","±2.0","10,348","±180","2,166","±299","20.9%","±2.9","9,453","±174","2,493","±364","26.4%","±3.8","5,986","±85","1,457","±231","24.3%","±3.8","12,803","±178","1,881","±319","14.7%","±2.4","11,481","±96","1,840","±287","16.0%","±2.5","2,596","±61","689","±118","26.5%","±4.5","40,661","±206","5,397","±604","13.3%","±1.5","10,207","±118","1,684","±248","16.5%","±2.5","3,246","±67","578","±124","17.8%","±3.8","20,803","±237","3,706","±422","17.8%","±2.0","13,762","±205","2,496","±383","18.1%","±2.8"
"        Female","3,570,478","±1,779","538,277","±5,867","15.1%","±0.2","7,191","±116","1,073","±162","14.9%","±2.3","3,929","±86","922","±181","23.5%","±4.7","32,338","±269","5,572","±579","17.2%","±1.8","10,433","±181","1,880","±297","18.0%","±2.8","9,702","±174","2,005","±328","20.7%","±3.4","5,887","±85","1,386","±213","23.5%","±3.7","13,189","±180","1,951","±266","14.8%","±2.0","11,385","±96","2,509","±415","22.0%","±3.6","2,423","±57","800","±146","33.0%","±6.0","41,092","±176","5,674","±549","13.8%","±1.3","10,015","±118","1,494","±233","14.9%","±2.3","3,108","±67","735","±152","23.6%","±5.0","20,918","±236","3,818","±424","18.3%","±2.0","14,080","±193","2,570","±356","18.3%","±2.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","5,055,723","±6,251","803,348","±7,602","15.9%","±0.2","13,727","±128","2,684","±300","19.6%","±2.2","7,159","±46","1,541","±262","21.5%","±3.7","59,203","±380","11,705","±923","19.8%","±1.6","18,334","±213","3,763","±416","20.5%","±2.3","18,211","±217","4,158","±539","22.8%","±3.0","11,045","±142","2,665","±337","24.1%","±3.1","23,089","±145","3,640","±435","15.8%","±1.9","21,697","±151","4,082","±617","18.8%","±2.8","4,785","±71","1,468","±208","30.7%","±4.3","70,925","±492","9,961","±742","14.0%","±1.1","18,288","±205","2,997","±330","16.4%","±1.8","6,015","±12","1,259","±209","20.9%","±3.5","35,688","±373","6,546","±499","18.3%","±1.4","25,766","±220","4,695","±517","18.2%","±2.0"
"        Black or African American alone","1,073,417","±4,595","152,577","±3,541","14.2%","±0.3","330","±159","2","±5","0.6%","±1.7","248","±96","112","±68","45.2%","±34.6","500","±179","75","±61","15.0%","±10.8","284","±89","89","±61","31.3%","±20.7","11","±14","4","±8","36.4%","±53.5","24","±20","0","±22","0.0%","±71.2","139","±108","10","±17","7.2%","±14.4","288","±71","117","±61","40.6%","±19.0","4","±7","0","±20","0.0%","±100.0","1,932","±222","183","±98","9.5%","±5.1","362","±96","71","±63","19.6%","±18.8","11","±17","0","±20","0.0%","±100.0","1,058","±295","465","±240","44.0%","±21.9","279","±78","166","±83","59.5%","±28.2"
"        American Indian and Alaska Native alone","18,896","±2,165","3,126","±426","16.5%","±2.2","26","±31","0","±22","0.0%","±68.4","20","±31","0","±20","0.0%","±78.0","49","±33","30","±26","61.2%","±30.9","58","±40","3","±8","5.2%","±14.7","0","±22","0","±22","-","**","19","±33","0","±22","0.0%","±80.1","7","±11","5","±9","71.4%","±71.4","28","±21","9","±10","32.1%","±34.8","5","±9","0","±20","0.0%","±100.0","213","±223","12","±15","5.6%","±8.9","32","±41","5","±9","15.6%","±38.7","9","±17","0","±20","0.0%","±100.0","323","±278","136","±137","42.1%","±30.3","130","±133","43","±59","33.1%","±41.6"
"        Asian alone","134,187","±2,281","9,925","±888","7.4%","±0.6","0","±22","0","±22","-","**","41","±40","1","±3","2.4%","±9.9","221","±199","52","±80","23.5%","±19.9","231","±52","1","±5","0.4%","±2.2","42","±37","0","±22","0.0%","±53.8","0","±22","0","±22","-","**","46","±39","23","±28","50.0%","±50.0","56","±60","7","±14","12.5%","±26.0","0","±20","0","±20","-","**","946","±182","91","±57","9.6%","±6.3","91","±44","0","±26","0.0%","±36.4","8","±12","0","±20","0.0%","±100.0","240","±207","17","±30","7.1%","±11.8","124","±120","0","±26","0.0%","±29.6"
"        Native Hawaiian and Other Pacific Islander alone","5,490","±1,044","554","±213","10.1%","±3.8","0","±22","0","±22","-","**","0","±20","0","±20","-","**","178","±294","0","±33","0.0%","±22.1","0","±26","0","±26","-","**","10","±18","0","±22","0.0%","±100.0","4","±6","0","±22","0.0%","±100.0","0","±26","0","±26","-","**","8","±20","0","±26","0.0%","±100.0","0","±20","0","±20","-","**","0","±33","0","±33","-","**","39","±51","0","±26","0.0%","±55.9","0","±20","0","±20","-","**","99","±112","36","±61","36.4%","±56.6","46","±66","0","±26","0.0%","±51.5"
