"Summary level","Program label","Program","Sub-program","Name","Code","Subsidized units available","# Occupied Units","% Occupied","# Reported","% Reported","Average months since report","% moved in past year","Number of people per unit","Number of people: total","Average Family Expenditure per month ($$)","Average HUD Expenditure per month ($$)","Household income per year","Household income per year per person","% No Income","% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 - $24,999","% $25,000 - $29,999","% $30,000 - $39,999","% $40,000 or more","% Households where wages are major source of income","% Households where welfare is major source of income","% Households with other major sources of income","% of local median (Household income)","% low income","% very low income","% extremely low income","% 2+ adults with children","% 1 adult with children","% Children 0-5","% Children 6-12","% Children 13-17","% No Children","% female head","% female head with children","% Female Head with children between 0-5yrs","% Households where Head or spouse/Co-head has a disability","% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% of households with any disabled member","% with disability, among all persons in households","% of Households where both head and spouse are younger than 62","% 24 years or less (Head or spouse)","% 25 to 49 years (Head or spouse)","% 51 to 60 (Head or spouse)","% 62 or more (Head or spouse)","% 85 or more (Head or spouse)","% Minority","%Black Non-Hispanic","%Native American Non-Hispanic","%Asian or Pacific Islander Non-Hispanic","%White Non-Hispanic","%Black Hispanic","%White Hispanic","%Other Hispanic","% Hispanic","% Multiple Race","Average months on waiting list","Average months since moved in","% with utility allowance","Average utility allowance $$","% 0 - 1 bedrooms:","% 2 bedrooms","% 3+ bedrooms","% Overhoused","% in poverty (Census tract)","% minority (Census tract)","% single family owners (Census tract)","Congressional District","CBSA","PLACE","Latitude","Longitude","State","PHA Total Units","HA category"
"9","202/PRAC","8","N/A","Cannon County","47015","18","17","97","17","97","7","18","1.1","18","417","301","18635","17600","-1","-1","-1","29","35","29","-1","6","-1","-1","-1","100","23","100","100","94","-1","-1","-1","-1","-1","100","71","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","100","18","0","-1","-1","-1","94","-1","-1","-1","0","0","-1","68","-1","-1","100","-1","-1","-1","18","12","79","NA","NA","NA","NA","NA","TN","NA","NA"
"9","202/PRAC","8","N/A","Cumberland County","47035","30","29","95","28","97","7","21","1","28","336","273","14369","14369","-1","-1","-1","61","32","7","-1","-1","-1","4","-1","96","28","100","100","68","-1","-1","-1","-1","-1","100","71","-1","-1","18","-1","18","18","18","-1","-1","-1","-1","100","4","4","-1","-1","-1","96","-1","4","-1","4","0","-1","69","-1","-1","100","-1","-1","-1","22","12","64","NA","NA","NA","NA","NA","TN","NA","NA"
"9","811/PRAC","9","N/A","Cumberland County","47035","17","12","70","13","100","5","23","1.1","14","333","140","13906","12913","-1","-1","-1","69","23","8","-1","-1","-1","-1","-1","100","26","100","100","85","-1","-1","-1","-1","-1","100","46","-1","-1","85","71","100","85","79","54","8","23","23","46","-1","8","8","-1","-1","92","-1","-1","-1","0","0","-1","61","-1","-1","85","15","-1","8","20","8","92","NA","NA","NA","NA","NA","TN","NA","NA"
"9","202/PRAC","8","N/A","DeKalb County","47041","26","25","95","25","100","5","20","1.3","33","381","307","16360","12394","4","-1","4","36","28","20","8","-1","-1","4","-1","92","30","100","96","44","-1","16","-1","12","4","84","72","16","-1","8","50","4","8","6","8","-1","-1","8","92","8","4","-1","-1","4","84","-1","-1","-1","0","0","-1","42","-1","-1","76","16","8","12","19","17","73","NA","NA","NA","NA","NA","TN","NA","NA"
"9","811/PRAC","9","N/A","DeKalb County","47041","6","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","NA","NA","NA","NA","NA","TN","NA","NA"
"9","811/PRAC","9","N/A","Fentress County","47049","20","19","97","21","100","5","43","1.2","25","351","307","15133","12712","-1","-1","-1","71","14","5","5","5","-1","-1","-1","100","28","100","95","76","-1","-1","-1","-1","-1","100","52","-1","-1","95","100","93","95","88","33","-1","-1","33","67","-1","0","-1","-1","-1","95","-1","-1","-1","0","0","-1","61","-1","-1","48","43","10","48","36","7","65","NA","NA","NA","NA","NA","TN","NA","NA"
"9","202/PRAC","8","N/A","Macon County","47111","19","19","98","19","100","6","26","1","19","328","243","13834","13834","-1","5","5","58","26","5","-1","-1","-1","-1","-1","100","26","100","100","79","-1","-1","-1","-1","-1","100","63","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","100","11","0","-1","-1","-1","89","-1","-1","-1","0","0","-1","46","-1","-1","100","-1","-1","-1","14","17","67","NA","NA","NA","NA","NA","TN","NA","NA"
"9","811/PRAC","9","N/A","Macon County","47111","14","14","99","14","100","6","-1","1.1","15","382","172","15761","14710","-1","-1","-1","64","29","-1","-1","7","-1","-1","-1","100","29","100","93","71","-1","-1","-1","-1","-1","100","57","-1","-1","100","100","100","100","100","64","-1","-1","64","36","-1","0","-1","-1","-1","93","-1","-1","-1","0","0","-1","73","-1","-1","100","-1","-1","-1","14","17","67","NA","NA","NA","NA","NA","TN","NA","NA"
"9","202/PRAC","8","N/A","Overton County","47133","40","39","97","35","90","7","11","1","36","381","163","16246","15795","-1","-1","3","54","20","14","6","3","-1","-1","-1","100","31","100","94","60","-1","-1","-1","-1","-1","100","77","-1","-1","9","-1","9","9","8","-1","-1","-1","-1","100","14","3","3","-1","-1","97","-1","-1","-1","0","0","-1","55","-1","-1","100","-1","-1","-1","21","6","80","NA","NA","NA","NA","NA","TN","NA","NA"
"9","202/PRAC","8","N/A","Putnam County","47141","49","47","97","46","97","6","15","1","46","385","196","16810","16810","-1","-1","-1","41","37","15","7","-1","-1","2","-1","98","31","100","93","52","-1","-1","-1","-1","-1","100","59","-1","-1","11","-1","11","11","11","-1","-1","-1","-1","100","4","2","2","-1","-1","96","-1","-1","-1","0","0","-1","64","-1","-1","100","-1","-1","-1","18","17","74","NA","NA","NA","NA","NA","TN","NA","NA"
"9","202/PRAC","8","N/A","Smith County","47159","14","14","99","14","100","7","21","1","14","371","259","17027","17027","-1","-1","7","43","29","14","-1","7","-1","-1","-1","100","30","100","93","57","-1","-1","-1","-1","-1","100","79","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","100","14","0","-1","-1","-1","100","-1","-1","-1","0","0","-1","68","-1","-1","100","-1","-1","-1","20","9","61","NA","NA","NA","NA","NA","TN","NA","NA"
"9","202/PRAC","8","N/A","Warren County","47177","14","14","99","15","100","6","13","1","15","355","354","14981","14981","-1","-1","13","40","40","7","-1","-1","-1","-1","-1","100","29","100","100","53","-1","-1","-1","-1","-1","100","73","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","100","13","7","-1","-1","7","87","-1","-1","-1","0","0","-1","68","-1","-1","100","-1","-1","-1","17","27","78","NA","NA","NA","NA","NA","TN","NA","NA"
"9","202/PRAC","8","N/A","White County","47185","55","53","96","53","100","7","19","1","53","392","132","16949","16949","-1","-1","2","40","32","17","6","4","-1","4","-1","96","33","100","92","43","-1","-1","-1","-1","-1","100","68","-1","-1","6","-1","6","6","6","-1","-1","-1","-1","100","11","2","-1","-1","-1","96","-1","-1","2","2","0","-1","69","-1","-1","100","-1","-1","-1","16","14","71","NA","NA","NA","NA","NA","TN","NA","NA"
