"Label (Grouping)","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!Below poverty level!!Estimate","Tennessee!!Below poverty level!!Margin of Error","Tennessee!!Percent below poverty level!!Estimate","Tennessee!!Percent below poverty level!!Margin of Error","Cannon County, Tennessee!!Total!!Estimate","Cannon County, Tennessee!!Total!!Margin of Error","Cannon County, Tennessee!!Below poverty level!!Estimate","Cannon County, Tennessee!!Below poverty level!!Margin of Error","Cannon County, Tennessee!!Percent below poverty level!!Estimate","Cannon County, Tennessee!!Percent below poverty level!!Margin of Error","Clay County, Tennessee!!Total!!Estimate","Clay County, Tennessee!!Total!!Margin of Error","Clay County, Tennessee!!Below poverty level!!Estimate","Clay County, Tennessee!!Below poverty level!!Margin of Error","Clay County, Tennessee!!Percent below poverty level!!Estimate","Clay County, Tennessee!!Percent below poverty level!!Margin of Error","Cumberland County, Tennessee!!Total!!Estimate","Cumberland County, Tennessee!!Total!!Margin of Error","Cumberland County, Tennessee!!Below poverty level!!Estimate","Cumberland County, Tennessee!!Below poverty level!!Margin of Error","Cumberland County, Tennessee!!Percent below poverty level!!Estimate","Cumberland County, Tennessee!!Percent below poverty level!!Margin of Error","DeKalb County, Tennessee!!Total!!Estimate","DeKalb County, Tennessee!!Total!!Margin of Error","DeKalb County, Tennessee!!Below poverty level!!Estimate","DeKalb County, Tennessee!!Below poverty level!!Margin of Error","DeKalb County, Tennessee!!Percent below poverty level!!Estimate","DeKalb County, Tennessee!!Percent below poverty level!!Margin of Error","Fentress County, Tennessee!!Total!!Estimate","Fentress County, Tennessee!!Total!!Margin of Error","Fentress County, Tennessee!!Below poverty level!!Estimate","Fentress County, Tennessee!!Below poverty level!!Margin of Error","Fentress County, Tennessee!!Percent below poverty level!!Estimate","Fentress County, Tennessee!!Percent below poverty level!!Margin of Error","Jackson County, Tennessee!!Total!!Estimate","Jackson County, Tennessee!!Total!!Margin of Error","Jackson County, Tennessee!!Below poverty level!!Estimate","Jackson County, Tennessee!!Below poverty level!!Margin of Error","Jackson County, Tennessee!!Percent below poverty level!!Estimate","Jackson County, Tennessee!!Percent below poverty level!!Margin of Error","Macon County, Tennessee!!Total!!Estimate","Macon County, Tennessee!!Total!!Margin of Error","Macon County, Tennessee!!Below poverty level!!Estimate","Macon County, Tennessee!!Below poverty level!!Margin of Error","Macon County, Tennessee!!Percent below poverty level!!Estimate","Macon County, Tennessee!!Percent below poverty level!!Margin of Error","Overton County, Tennessee!!Total!!Estimate","Overton County, Tennessee!!Total!!Margin of Error","Overton County, Tennessee!!Below poverty level!!Estimate","Overton County, Tennessee!!Below poverty level!!Margin of Error","Overton County, Tennessee!!Percent below poverty level!!Estimate","Overton County, Tennessee!!Percent below poverty level!!Margin of Error","Pickett County, Tennessee!!Total!!Estimate","Pickett County, Tennessee!!Total!!Margin of Error","Pickett County, Tennessee!!Below poverty level!!Estimate","Pickett County, Tennessee!!Below poverty level!!Margin of Error","Pickett County, Tennessee!!Percent below poverty level!!Estimate","Pickett County, Tennessee!!Percent below poverty level!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!Below poverty level!!Estimate","Putnam County, Tennessee!!Below poverty level!!Margin of Error","Putnam County, Tennessee!!Percent below poverty level!!Estimate","Putnam County, Tennessee!!Percent below poverty level!!Margin of Error","Smith County, Tennessee!!Total!!Estimate","Smith County, Tennessee!!Total!!Margin of Error","Smith County, Tennessee!!Below poverty level!!Estimate","Smith County, Tennessee!!Below poverty level!!Margin of Error","Smith County, Tennessee!!Percent below poverty level!!Estimate","Smith County, Tennessee!!Percent below poverty level!!Margin of Error","Van Buren County, Tennessee!!Total!!Estimate","Van Buren County, Tennessee!!Total!!Margin of Error","Van Buren County, Tennessee!!Below poverty level!!Estimate","Van Buren County, Tennessee!!Below poverty level!!Margin of Error","Van Buren County, Tennessee!!Percent below poverty level!!Estimate","Van Buren County, Tennessee!!Percent below poverty level!!Margin of Error","Warren County, Tennessee!!Total!!Estimate","Warren County, Tennessee!!Total!!Margin of Error","Warren County, Tennessee!!Below poverty level!!Estimate","Warren County, Tennessee!!Below poverty level!!Margin of Error","Warren County, Tennessee!!Percent below poverty level!!Estimate","Warren County, Tennessee!!Percent below poverty level!!Margin of Error","White County, Tennessee!!Total!!Estimate","White County, Tennessee!!Total!!Margin of Error","White County, Tennessee!!Below poverty level!!Estimate","White County, Tennessee!!Below poverty level!!Margin of Error","White County, Tennessee!!Percent below poverty level!!Estimate","White County, Tennessee!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","6,907,625","±2,128","950,340","±15,734","13.8%","±0.2","14,689","±23","2,684","±550","18.3%","±3.7","7,596","±37","1,838","±419","24.2%","±5.5","63,047","±46","9,050","±1,347","14.4%","±2.1","20,656","±73","3,835","±806","18.6%","±3.9","18,986","±209","3,983","±749","21.0%","±4.0","11,840","±41","2,398","±488","20.3%","±4.1","25,872","±104","4,440","±832","17.2%","±3.2","22,638","±155","3,691","±745","16.3%","±3.3","5,019","±15","1,200","±289","23.9%","±5.8","78,926","±145","14,501","±1,436","18.4%","±1.8","20,183","±46","2,022","±530","10.0%","±2.6","6,236","±129","1,004","±315","16.1%","±5.0","41,591","±94","6,532","±1,023","15.7%","±2.5","27,812","±89","3,664","±775","13.2%","±2.8"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","1,538,193","±2,201","289,295","±8,186","18.8%","±0.5","3,358","±111","933","±346","27.8%","±10.1","1,435","±43","367","±182","25.6%","±12.6","10,559","±73","2,393","±717","22.7%","±6.8","4,485","±72","1,216","±340","27.1%","±7.6","3,755","±210","935","±288","24.9%","±8.2","2,167","±76","553","±204","25.5%","±9.4","6,463","±113","1,549","±453","24.0%","±6.9","4,529","±151","909","±303","20.1%","±6.7","878","±39","394","±149","44.9%","±17.2","16,931","±153","4,187","±668","24.7%","±4.0","4,527","±61","392","±181","8.7%","±4.0","1,185","±135","273","±155","23.0%","±13.2","9,687","±106","1,976","±514","20.4%","±5.3","6,027","±89","1,018","±403","16.9%","±6.7"
"            Under 5 years","402,374","±1,335","78,740","±3,029","19.6%","±0.7","843","±76","282","±164","33.5%","±18.4","323","±20","68","±79","21.1%","±24.5","2,690","±165","630","±263","23.4%","±9.4","1,503","±107","718","±227","47.8%","±14.5","1,031","±53","189","±110","18.3%","±10.7","540","±43","112","±94","20.7%","±17.8","1,622","±66","285","±176","17.6%","±10.9","1,123","±42","227","±92","20.2%","±8.0","206","±6","27","±19","13.1%","±9.2","4,388","±145","951","±250","21.7%","±5.8","1,114","±76","118","±82","10.6%","±6.9","302","±57","88","±58","29.1%","±18.1","2,447","±119","368","±179","15.0%","±7.4","1,483","±99","379","±222","25.6%","±15.6"
"            5 to 17 years","1,135,819","±1,841","210,555","±6,349","18.5%","±0.6","2,515","±142","651","±249","25.9%","±9.5","1,112","±43","299","±139","26.9%","±12.5","7,869","±162","1,763","±548","22.4%","±6.9","2,982","±98","498","±203","16.7%","±6.7","2,724","±211","746","±231","27.4%","±9.3","1,627","±64","441","±154","27.1%","±9.3","4,841","±118","1,264","±371","26.1%","±7.5","3,406","±146","682","±265","20.0%","±7.8","672","±36","367","±145","54.6%","±22.1","12,543","±119","3,236","±569","25.8%","±4.5","3,413","±94","274","±139","8.0%","±4.1","883","±94","185","±107","21.0%","±12.5","7,240","±144","1,608","±407","22.2%","±5.6","4,544","±126","639","±264","14.1%","±5.8"
"            Related children of householder under 18 years","1,531,206","±2,449","282,867","±8,123","18.5%","±0.5","3,325","±118","900","±340","27.1%","±10.0","1,435","±43","367","±182","25.6%","±12.6","10,536","±75","2,370","±717","22.5%","±6.8","4,485","±72","1,216","±340","27.1%","±7.6","3,755","±210","935","±288","24.9%","±8.2","2,167","±76","553","±204","25.5%","±9.4","6,419","±126","1,505","±450","23.4%","±6.9","4,482","±194","862","±296","19.2%","±6.6","878","±39","394","±149","44.9%","±17.2","16,881","±172","4,137","±662","24.5%","±3.9","4,527","±61","392","±181","8.7%","±4.0","1,185","±135","273","±155","23.0%","±13.2","9,567","±123","1,856","±528","19.4%","±5.5","6,023","±90","1,014","±403","16.8%","±6.7"
"        18 to 64 years","4,189,753","±1,265","530,766","±8,844","12.7%","±0.2","8,770","±113","1,370","±346","15.6%","±3.9","4,258","±56","1,080","±279","25.4%","±6.6","32,137","±149","4,504","±684","14.0%","±2.1","12,334","±124","2,116","±496","17.2%","±4.0","10,782","±56","2,189","±483","20.3%","±4.5","6,929","±74","1,264","±287","18.2%","±4.1","15,431","±110","2,421","±443","15.7%","±2.9","13,444","±86","1,970","±463","14.7%","±3.5","2,757","±44","668","±191","24.2%","±6.9","48,691","±164","8,332","±894","17.1%","±1.8","12,318","±65","1,245","±364","10.1%","±2.9","3,548","±53","589","±197","16.6%","±5.5","24,566","±169","3,572","±550","14.5%","±2.2","15,919","±112","1,963","±444","12.3%","±2.8"
"            18 to 34 years","1,532,422","±1,552","230,803","±4,997","15.1%","±0.3","2,969","±144","614","±203","20.7%","±6.5","1,022","±102","288","±133","28.2%","±12.8","9,673","±143","1,509","±307","15.6%","±3.2","4,165","±168","783","±282","18.8%","±6.6","3,402","±101","773","±218","22.7%","±6.3","2,184","±94","283","±131","13.0%","±6.0","5,374","±144","1,021","±313","19.0%","±5.8","4,569","±85","679","±197","14.9%","±4.3","705","±44","102","±58","14.5%","±8.4","20,395","±280","4,976","±644","24.4%","±3.1","4,084","±93","596","±226","14.6%","±5.5","1,103","±43","201","±96","18.2%","±8.7","8,606","±216","1,357","±277","15.8%","±3.2","5,337","±146","709","±246","13.3%","±4.6"
"            35 to 64 years","2,657,331","±2,008","299,963","±6,218","11.3%","±0.2","5,801","±100","756","±247","13.0%","±4.2","3,236","±104","792","±208","24.5%","±6.3","22,464","±168","2,995","±548","13.3%","±2.4","8,169","±176","1,333","±332","16.3%","±4.1","7,380","±93","1,416","±381","19.2%","±5.2","4,745","±71","981","±218","20.7%","±4.6","10,057","±146","1,400","±313","13.9%","±3.1","8,875","±98","1,291","±384","14.5%","±4.3","2,052","±58","566","±176","27.6%","±8.8","28,296","±320","3,356","±576","11.9%","±2.0","8,234","±100","649","±218","7.9%","±2.6","2,445","±53","388","±141","15.9%","±5.7","15,960","±281","2,215","±396","13.9%","±2.5","10,582","±164","1,254","±334","11.9%","±3.1"
"        60 years and over","1,632,630","±4,171","186,748","±3,479","11.4%","±0.2","3,509","±152","522","±150","14.9%","±4.3","2,478","±115","610","±178","24.6%","±6.6","25,608","±345","2,644","±464","10.3%","±1.8","5,582","±264","761","±274","13.6%","±4.8","6,186","±177","1,212","±255","19.6%","±4.2","3,607","±185","747","±168","20.7%","±4.7","5,499","±299","810","±251","14.7%","±4.2","6,698","±269","1,383","±387","20.6%","±5.5","1,822","±113","185","±71","10.2%","±3.9","18,926","±406","2,726","±422","14.4%","±2.2","4,829","±219","687","±210","14.2%","±4.2","1,984","±110","184","±70","9.3%","±3.5","10,152","±322","1,407","±338","13.9%","±3.2","7,807","±335","866","±232","11.1%","±3.1"
