PROPERTY_NAME_TEXT,TOTAL_ASSISTED_UNIT_COUNT,TOTAL_UNIT_COUNT,IS_202_811_IND,CURCNTY_NM,STD_ST,LAT,LON,county
OAK HILLS APARTMENTS,23,24,Y,White                    ,TN,35.927919,-85.452623,White
HOLLY HILLS APARTMENTS,24,24,Y,Overton                  ,TN,36.39045,-85.328613,Overton
Fairground Apartments,10,11,Y,Fentress                 ,TN,36.440845,-84.942345,Fentress
HIGHLAND MANOR APTS.,22,23,Y,Putnam                   ,TN,36.143939,-85.260805,Putnam
MICKI THOMPSON MEMORIAL APARTMENTS,5,6,Y,Cumberland               ,TN,35.944296,-85.019317,Cumberland
Oakmont Gardens Apartments,12,12,Y,Cumberland               ,TN,35.946727,-85.035685,Cumberland
Mace Apartments,10,10,Y,Fentress                 ,TN,36.434939,-84.944766,Fentress
Laurel Creek,19,19,Y,Putnam                   ,TN,36.184155,-85.542037,Putnam
PLEASANT HILL APARTMENTS,14,14,Y,White                    ,TN,35.927508,-85.451821,White
Shenandoah Apartments,19,19,Y,Macon                    ,TN,36.5336,-86.0118,Macon
SHENANDOAH HAVEN,14,14,Y,Macon                    ,TN,36.534903,-86.022038,Macon
GOLDEN OAKS,14,15,Y,Warren                   ,TN,35.692686,-85.754885,Warren
SOUTH CARTHAGE MANOR,14,14,Y,Smith                    ,TN,36.257651,-85.969075,Smith
MOUNTAIN GROVE APARTMENTS,15,15,Y,Overton                  ,TN,36.391934,-85.326781,Overton
Highland Manor II,11,11,Y,Putnam                   ,TN,36.149662,-85.270376,Putnam
HILLTOP MANOR,18,19,Y,Cannon                   ,TN,35.820814,-86.080552,Cannon
OAK HILLS ANNEX,19,19,Y,White                    ,TN,35.928188,-85.451814,White
Azalea Gardens,15,15,Y,Cumberland               ,TN,35.94674,-85.035662,Cumberland
Teresa Gardens,10,10,Y,Cumberland               ,TN,35.94229,-85.051025,Cumberland
